Snugg Pro ID,kWh Saved,Mbtu Saved,Annual Fuel Dollars Saved,Annual Electric Dollars Saved,Total Savings,CO2 Tons Diverted,Mbtu Percent,CO 2 Percent,Mirr,SIR,Annual Fuel Therms Saved,Year Built,Conditioned Area (sqft),Front of Building Orientation,Blower Door Reading,Blower Door Reading Improved,HVAC Duct Location,HVAC Duct Leakage Value,HVAC Duct Leakage Value Improved,HVAC Duct Efficiency,HVAC Duct Efficiency Improved,HVAC System Equipment Type,HVAC Heating Energy Source,HVAC Heating Is Condensing
256107,507.3291742,1.73,0,64,63.82,7.7,3,3,-6,0.1,0.0,1996.0,2454.0,North West,2526.0,1894.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
259812,2691.222051,9.19,0,339,338.56,2.7,25,25,3,0.6,0.0,1996.0,2181.0,West,1760.0,1320.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
269784,2897.744604,14.7,169,365,533.71,9.1,12,12,-5,0.1,48.1035402,1860.0,7430.0,West,9585.0,7188.75,70/30 Conditioned Space - Garage (unconditioned),0.0,0.0,95.57,95.57,Central Heat Pump (shared ducts),Electricity,No
263712,2246.04418,7.66,0,282,282.55,6.4,15,15,2,0.5,0.0,2000.0,2756.0,East,3586.0,2689.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
255038,166.9986487,11.9,140,21,161.57,6.1,11,10,0,0.4,113.2679351,1949.0,1336.0,South,2426.0,1819.5,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,87.72,92.05,Furnace / Central AC (shared ducts),Natural Gas,Yes
278783,320.4461132,1.09,0,40,40.31,14.4,1,1,0,0.4,0.0,2015.0,1792.0,East,1322.0,991.5,50/50 Attic - Basement (both unconditioned),0.0,0.0,85.34,85.34,Central Heat Pump (shared ducts),Electricity,
273687,2452.654255,8.37,0,309,308.54,3.9,17,17,45,0.0,0.0,1975.0,1343.0,North East,2240.0,1680.0,50/50 Basement (unconditioned) - Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
269143,1250.768689,13.08,110,157,266.62,3.5,19,20,4,0.8,88.05136744,1991.0,1526.0,South East,4629.0,3471.75,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,Yes
256480,-1366.18439,11.47,567,-172,395.37,3.8,23,7,5,1.0,161.2898184,1993.0,1000.0,South West,1625.0,1218.75,Attic (unconditioned),0.0,0.0,84.52,85.6,Central Heat Pump (shared ducts),Propane,No
252349,565.2865667,9.7,96,71,167.57,7.0,13,9,5,1.0,77.72716303,1994.0,1760.0,North West,2061.0,1545.75,Crawlspace (unconditioned),0.0,0.0,80.38,100.0,Ductless Heat Pump,Electricity,Yes
251745,699.8078572,2.96,11,88,99.47,8.3,5,5,6,1.3,5.713153892,1994.0,1408.0,North West,1435.0,1076.25,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Electric Resistance,Electricity,
268940,1152.445692,3.93,0,145,144.98,4.0,13,13,-3,0.2,0.0,2007.0,1587.0,South East,1255.0,941.25,Attic (unconditioned),0.0,0.0,88.84,100.0,Central Heat Pump (shared ducts),Electricity,
253451,1511.294835,5.16,0,190,190.12,7.3,6,6,2,0.5,0.0,1998.0,6165.0,South West,4230.0,3172.5,Attic (unconditioned),0.0,0.0,89.41,89.41,Central Heat Pump (shared ducts),Electricity,
255067,2376.152838,8.11,0,299,298.92,3.9,16,17,3,0.7,0.0,1992.0,2432.0,North West,1880.0,1410.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
259699,1012.666711,3.46,0,128,127.39,3.2,9,9,2,0.6,0.0,1984.0,968.0,North West,4494.0,3370.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
263723,57.62998887,4.09,49,8,55.66,4.0,8,5,-1,0.3,39.00662975,1990.0,1216.0,South East,949.0,711.75,Attic (unconditioned),0.0,0.0,86.38,86.38,Central Heat Pump (shared ducts),Natural Gas,No
296683,2075.541304,7.08,0,296,296.18,5.8,16,16,6,1.1,0.0,2019.0,1470.0,South East,554.0,415.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
296702,793.3277456,2.71,0,113,113.21,2.4,10,10,0,0.4,0.0,2019.0,1444.0,East,632.0,474.0,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
275461,844.923842,4.37,19,106,124.75,0.512762785,9,8,1,0.4,14.87379195,1964.0,2786.0,North East,4040.0,3030.0,50/50 Attic - Crawlspace (both unconditioned),0.0,0.0,87.69,93.72,Central Heat Pump (shared ducts),Electricity,Yes
270441,27.74471826,22.63,480,4,483.22,1.676153401,18,16,8,1.8,225.4119974,1972.0,1755.0,West,2674.0,2005.5,Basement (unconditioned),0.0,0.0,90.81,100.0,Furnace / Central AC (shared ducts),Fuel Oil,
265048,1105.460491,3.78,0,139,139.07,0.358845744,11,11,-4,0.2,0.0,1999.0,1357.0,North West,1578.0,1183.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Central Heat Pump (shared ducts),Electricity,
296509,-67.9896664,6.75,79,18,47.82,8.2,8,5,-2,0.2,63.36767056,2012.0,1601.0,North West,1648.0,1236.0,50/50 Attic - Crawlspace (both unconditioned),0.0,0.0,81.18,87.0,Furnace / Central AC (shared ducts),Natural Gas,No
296814,5250.441027,4.25,11,164,831.36,4.4,8,8,46,0.0,3.119579718,1970.0,960.0,North East,3058.0,2293.5,,,,,0.0,Electric Resistance,Electricity,
296884,1831.883802,13.69,158,40,788.05,6.6,11,11,9,2.1,127.2135278,1973.0,2790.0,South West,6862.0,5146.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,No
